Date,SORA
Sep 2024,3.8808
Aug 2024,3.5355
Jul 2024,3.4336
Jun 2024,3.4325
May 2024,3.5222
Apr 2024,3.5066
Mar 2024,3.6851
Feb 2024,3.7464
Jan 2024,3.4844
Dec 2023,3.6235
Nov 2023,3.6592
Oct 2023,3.6904
Sep 2023,3.8245
Aug 2023,3.7781
Jul 2023,3.5504
Jun 2023,4.0005
May 2023,3.7241
Apr 2023,3.785
Mar 2023,3.5843
Feb 2023,3.4497
Jan 2023,3.8693
Dec 2022,2.5293
Nov 2022,3.9119
Oct 2022,2.8521
Sep 2022,4.3916
Aug 2022,2.3098
Jul 2022,2.1354
Jun 2022,1.6562
May 2022,0.7187
Apr 2022,0.6764
Mar 2022,0.6085
Feb 2022,0.3278
Jan 2022,0.4113
Dec 2021,0.3065
Nov 2021,0.1128
Oct 2021,0.2229
Sep 2021,0.0665
Aug 2021,0.2215
Jul 2021,0.2749
Jun 2021,0.0665
May 2021,0.1514
Apr 2021,0.2504
Mar 2021,0.2315
Feb 2021,0.2626
Jan 2021,0.237
Dec 2020,0.938
Nov 2020,0.1849
Oct 2020,0.3057
Sep 2020,0.0786
Aug 2020,0.2128
Jul 2020,0.1015
Jun 2020,0.1647
May 2020,0.1246
Apr 2020,0.0879
Mar 2020,0.267
Feb 2020,1.2581
Jan 2020,1.6492
Dec 2019,1.3562
Nov 2019,1.6264
Oct 2019,1.6432
Sep 2019,1.7204
Aug 2019,1.7441
Jul 2019,1.9413
Jun 2019,1.673
May 2019,1.8757
Apr 2019,2.0791
Mar 2019,2.2358
Feb 2019,1.6556
Jan 2019,1.8978
Dec 2018,1.7645
Nov 2018,1.9655
Oct 2018,1.4498
Sep 2018,1.1084
Aug 2018,1.0628
Jul 2018,1.7311
Jun 2018,1.3426
May 2018,1.1205
Apr 2018,1.4725
Mar 2018,0.7834
Feb 2018,0.5943
Jan 2018,0.8294
Dec 2017,0.8605
Nov 2017,1.2592
Oct 2017,1.0968
Sep 2017,0.5979
Aug 2017,0.5189
Jul 2017,0.986
Jun 2017,0.8239
May 2017,0.4503
Apr 2017,0.4526
Mar 2017,0.5687
Feb 2017,0.4731
Jan 2017,0.1388
Dec 2016,0.4595
Nov 2016,0.0649
Oct 2016,0.0731
Sep 2016,0.1248
Aug 2016,0.3781
Jul 2016,0.3713
Jun 2016,0.4412
May 2016,0.2297
Apr 2016,0.4125
Mar 2016,0.1332
Feb 2016,0.5059
Jan 2016,0.1954
Dec 2015,0.7159
Nov 2015,0.6487
Oct 2015,1.0026
Sep 2015,0.2158
Aug 2015,0.4865
Jul 2015,0.2294
Jun 2015,1.0098
May 2015,0.3903
Apr 2015,0.2264
Mar 2015,0.3023
Feb 2015,0.3447
Jan 2015,0.3866
Dec 2014,0.2484
Nov 2014,0.2011
Oct 2014,0.117
Sep 2014,0.0751
Aug 2014,0.1766
Jul 2014,0.083
Jun 2014,0.0692
May 2014,0.155
Apr 2014,0.1691
Mar 2014,0.2129
Feb 2014,0.1482
Jan 2014,0.0467
